顧客コード,アカウント識別子,週バージョン,定期登録日時,定期解約日時,経過週,初回おいくらキャンペーンコード,おいくらキャンペーン名,ホスピタリティーコード,おためしホスピタリティ,おためしホスピタリティ分類,登録端末タイプ,発送曜日,到着曜日ＩＤ,顧客更新者,おためし受注フラグ,退会週,登録時更新者,HosID Docomo分類,キャンペーン分類
619,GQ05TGJJ5TGLG4OTP4TT5TP0,1931,2019/7/25 19:09,2019/8/25 14:41,5,d19062002,dミールキットご入会キャンペーン,,,,3,6,7,9999,0,1935,9999,hosなし・自然流入,その他
619,GQ05TGJJ5TGLG4OTP4TT5TP0,1943,2019/10/17 20:57,2019/10/17 21:07,1,d19100902,dミールキットご入会特別キャンペーン★,,,,3,7,1,9999,0,1943,9999,hosなし・自然流入,転換＆直入会
622,TOOGTQ545T0GT5JTP4T4TTPJ,1932,2019/8/2 16:54,2019/11/7 17:37,15,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,704,0,1946,704,hosなし・自然流入,転換＆直入会
623,55O55Q5455Q5L44TP4T055P0,2025,2020/6/12 12:51,2020/7/9 0:40,4,dOB000005,【お電話でご入会】dミールキットご入会特別キャンペーン◎,,,,0,6,7,3071,0,2028,704,hosなし・自然流入,OB
625,G5O55Q5J55QTN4NTP4Q055PL,1931,2019/7/25 19:46,2019/8/11 21:49,3,d19062001,dミールキットご入会特別キャンペーン,,,,3,5,7,704,1,1933,704,hosなし・自然流入,転換＆直入会
627,NJQNNQGT5QG4O5TTP44G5TPT,1931,2019/7/25 20:28,2019/9/2 19:03,6,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,146,1,1936,704,hosなし・自然流入,転換＆直入会
629,T5O55N5555Q0G4LTP4L055PQ,1931,2019/7/25 20:47,,140,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,9000,1,2213,704,hosなし・自然流入,転換＆直入会
631,T5O5505455Q4N4JTP4L055PL,1936,2019/9/1 6:19,2019/9/1 6:36,1,d19062001,dミールキットご入会特別キャンペーン,1070,コーポレートサイト,ｄ系メディア,3,3,4,704,0,1936,704,オウンドpull,転換＆直入会
632,T5O55L5O55QGJ45TP4L055P0,1932,2019/8/4 22:19,,139,d19062001,dミールキットご入会特別キャンペーン,,,,3,6,7,9000,0,2213,9999,hosなし・自然流入,転換＆直入会
633,O5O55N5555QOO4GTP4T055PQ,1931,2019/7/29 18:26,2019/9/28 10:09,10,d19062001,dミールキットご入会特別キャンペーン,,,,3,6,7,9990,1,1940,9999,hosなし・自然流入,転換＆直入会
634,J5O55J5T55Q5O4TTP44055PG,1931,2019/7/25 22:17,,140,d19062002,dミールキットご入会キャンペーン,,,,1,5,6,9000,0,2213,704,hosなし・自然流入,その他
635,J5O5555O55QO44TTP4J055PJ,1932,2019/8/3 10:12,2020/9/16 7:50,59,d19062001,dミールキットご入会特別キャンペーン,,,,3,5,6,3071,0,2038,9999,hosなし・自然流入,転換＆直入会
636,05O55J5O55QQL45TP4Q055PT,1932,2019/8/1 22:37,2021/3/7 0:23,84,d19062001,dミールキットご入会特別キャンペーン,,,,1,6,7,1434,0,2110,704,hosなし・自然流入,転換＆直入会
637,G5O55N5T55Q4G4QTP4T055P0,1931,2019/7/25 22:25,2019/7/25 22:32,1,d19062002,dミールキットご入会キャンペーン,,,,3,2,3,146,0,1931,146,hosなし・自然流入,その他
638,O5O55J5555QNG44TP4L055P5,2122,2021/5/28 18:47,2022/2/4 3:43,37,d19062001,dミールキットご入会特別キャンペーン,,,,3,4,5,9990,0,2206,704,hosなし・自然流入,転換＆直入会
639,QTJTLTQO50T04ONTP45O5TPQ,1931,2019/7/25 22:32,2020/7/24 17:52,53,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,3071,1,2031,1434,hosなし・自然流入,転換＆直入会
640,N5O55Q5555Q4L4OTP45055P0,1931,2019/7/30 22:39,,140,d19062001,dミールキットご入会特別キャンペーン,,,,3,7,1,9000,1,2213,9999,hosなし・自然流入,転換＆直入会
641,05O55L5T55Q5444TP4G055PT,1932,2019/8/2 8:41,2019/10/30 19:01,13,d19062001,dミールキットご入会特別キャンペーン,,,,3,3,4,1133,0,1944,9999,hosなし・自然流入,転換＆直入会
643,45O55J5T55QLG4LTP4N055PO,2035,2020/8/20 21:09,2020/9/2 23:34,2,d20072001,dミールキットご入会特別キャンペーン■,1020,ｄメニュー,ｄ系メディア,3,3,4,1746,0,2036,1746,オウンドpull,転換＆直入会
646,45O5505T55QTJ45TP4L055PQ,1931,2019/8/1 0:51,2019/11/29 0:13,18,d19062002,dミールキットご入会キャンペーン,,,,1,1,2,3056,1,1949,9999,hosなし・自然流入,その他
647,55O55L5T55QJL44TP45055PO,1931,2019/8/1 4:23,,139,d19062002,dミールキットご入会キャンペーン,1310,dフォト,ｄ系サービス,3,4,5,146,1,2213,9999,オウンドpull,その他
650,55O55N5O55QTO4QTP4O055P5,1932,2019/8/1 10:08,2022/2/5 17:02,132,d19062001,dミールキットご入会特別キャンペーン,,,,3,1,2,9000,0,2206,704,hosなし・自然流入,転換＆直入会
651,N5O5555J55QN54OTP4L055PT,1944,2019/10/27 19:00,2019/10/27 19:51,1,d19100902,dミールキットご入会特別キャンペーン★,1020,ｄメニュー,ｄ系メディア,3,7,1,1133,0,1944,1133,オウンドpull,転換＆直入会
652,45O55L5555QNO40TP4N055PT,2009,2020/2/26 9:21,2020/3/23 18:21,5,d19062001,dミールキットご入会特別キャンペーン,,,,3,6,7,3056,0,2013,1133,hosなし・自然流入,転換＆直入会
652,45O55L5555QNO40TP4N055PT,2116,2021/4/21 9:16,2021/4/27 23:25,2,d21031701,dミールキット_ご入会特別キャンペーン☆,1992,Google_直定期_指名,一般WEB広告,3,6,7,9999,0,2117,3056,ペイドpull,体験入会
653,45O55T5555Q4T45TP4N055PG,1931,2019/7/26 10:24,2019/8/22 22:24,5,d19062002,dミールキットご入会キャンペーン,,,,3,3,4,3056,0,1935,9999,hosなし・自然流入,その他
656,45O55N5J55QTN4TTP4N055PQ,1933,2019/8/13 21:05,2019/8/26 17:14,3,,,,,,4,6,1,1133,0,1935,704,hosなし・自然流入,
656,45O55N5J55QTN4TTP4N055PQ,1936,2019/8/27 11:04,2020/8/31 14:59,54,d19062001,dミールキットご入会特別キャンペーン,1070,コーポレートサイト,ｄ系メディア,4,6,1,2002,0,2036,9999,オウンドpull,転換＆直入会
658,4QNONG5550TLL54TP4T4TTP5,1941,2019/10/7 10:11,2019/10/23 21:38,3,d19062001,dミールキットご入会特別キャンペーン,1999,google広告,一般WEB広告,1,7,1,9999,0,1943,1133,ペイドpull,転換＆直入会
659,55O5545T55QO040TP40055PN,1952,2019/12/22 18:23,2020/5/19 21:48,22,d19062001,dミールキットご入会特別キャンペーン,1020,ｄメニュー,ｄ系メディア,3,7,2,1133,0,2021,704,オウンドpull,転換＆直入会
662,L5O5545455Q5Q4GTP4O055P5,1931,2019/7/26 10:59,2019/9/1 21:34,6,d19062002,dミールキットご入会キャンペーン,,,,1,6,7,9990,0,1936,9999,hosなし・自然流入,その他
664,N5O55N5T55QQQ44TP44055PG,1935,2019/8/24 11:17,2022/1/10 15:32,125,d19062001,dミールキットご入会特別キャンペーン,1020,ｄメニュー,ｄ系メディア,3,1,2,9000,0,2202,704,オウンドpull,転換＆直入会
667,G5O55N5O55QJ44NTP4T055PN,1931,2019/7/26 11:35,2019/7/26 11:52,1,d19062002,dミールキットご入会キャンペーン,,,,1,7,1,9999,0,1931,9999,hosなし・自然流入,その他
